North High,Bakersfield,93308,https://north.kernhigh.org/,
Webster Elementary,Fresno,93701,https://www.fresnounified.org/schools/webster,
Elk Grove Elementary,Elk Grove,95624,http://blogs.egusd.net/elkgrove/,
Culver City High,Culver City,90230,https://cchs.ccusd.org/,
Coronado Middle,Coronado,92118,https://cms.coronadousd.net/,
Alta Elementary,Reedley,93654,https://alta.kcusd.com/,
Antelope Meadows Elementary,Antelope,95843,https://am-dcjesd-ca.schoolloop.com/,
Trinity Valley Elementary,Willow Creek,95573,http://tves.ktjusd.k12.ca.us/,
Conway Elementary,Escondido,92027,https://conway.eusd.org/,
Desert View Community Day,Littlerock,93543,https://www.greatschools.org/california/littlerock/25110-Desert-View-Community-Day-School/,
Birney Tech Academy,Pico Rivera,90660,https://be.erusd.org/,
Cypress Elementary,Newbury Park,91320,http://www.conejousd.org/cypress/,
Las Flores High (Alternative),Sacramento,95823,http://lasflores.egusd.net/,
Amargosa Creek Middle,Lancaster,93536,https://www.lancsd.org/Domain/8,
Thousand Oaks High,Thousand Oaks,91360,https://www.conejousd.org/tohs,
Troy High,Fullerton,92831,https://www.fjuhsd.org/Troy,
Isla Vista Elementary,Goleta,93117,https://www2.goleta.k12.ca.us/islavista,
Latrobe Elementary,Shingle Springs,95682,https://www.latrobeschool.com/les,
Highland,Hayward,94540,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926001002,
Arthur C. Butler Elementary,Elk Grove,95624,https://blogs.egusd.net/butler/,
Jessie Baker,Elk Grove,95624,http://blogs.egusd.net/baker/,
Brenkwitz High,Hayward,94541,https://bhs-haywardusd-ca.schoolloop.com/,
Dwight D. Eisenhower Elementary,Corona,92882,https://eisenhower.cnusd.k12.ca.us/,
Sunset,La Puente,91744,https://sunrisesunset.willyweather.com/ca/los-angeles-county/la-puente.html,
Forestville Academy,Forestville,95436,https://www.forestvilleusd.org/,
La Vista High (Continuation),Fullerton,92831,https://www.fjuhsd.org/domain/14,
Edison Middle,Bakersfield,93307,https://www.edison.k12.ca.us/EMS/,
Sparks Elementary,La Puente,91744,https://ses-hlpusd-ca.schoolloop.com/,
Acacia Elementary,Fullerton,92831,https://acacia.fullertonsd.org/,
Shoshone Elementary,Shoshone,92384,https://www.cde.ca.gov/schooldirectory/details?cdscode=14632716008742,
Davis Middle,Compton,90220,https://dms-compton-ca.schoolloop.com/,
Colfax Elementary,Colfax,95713,https://www.colfax.k12.ca.us/,
Redwood Middle,Thousand Oaks,91360,http://www.conejousd.org/redwood,
North Cottonwood,Cottonwood,96022,https://north.cwusd.com/,
Kinney High (Continuation),Rancho Cordova,95670,https://www.fcusd.org/khs,
Cleminson Elementary,Temple City,91780,https://cleminson.emcsd.org/,
Indian Diggings Elementary,Somerset,95684,http://www.idschool.org/,
Terra Vista Elementary,Rancho Cucamonga,91730,http://tv.etiwanda.org/,
Wildwood Elementary,Thousand Oaks,91360,http://www.conejousd.org/wildwood/,
Amelia Earhart Elementary School of International Studies,Indio,92201,https://www.cde.ca.gov/schooldirectory/details?cdscode=33670586118863,
Fairfax Jr. High,Bakersfield,93307,https://www.fairfax.k12.ca.us/fairfax,
Ocean View High,Huntington Beach,92647,https://www.ovhs.info/,
Circle of Independent Learning,Fremont,94538,https://ca01001063.schoolwires.net/,
Le Grand Elementary,Le Grand,95333,https://www.legrand.k12.ca.us/,
Alder Middle,Fontana,92336,https://www.fusd.net/Alder,
Raymond Elementary,Fullerton,92831,https://raymond.fullertonsd.org/,
Delphic Elementary,Montague,96064,https://delphic.k12.ca.us/,
Calaveras Elementary,Hollister,95023,https://cal.hesd.org/,
El Rancho High,Pico Rivera,90660,https://www.erusd.k12.ca.us/,
George Washington Elementary,Hanford,93232,https://www.greatschools.org/california/hanford/1161-George-Washington-Elementary-School/,
Marjorie H. Tobias Elementary,Daly City,94015,https://www.jsd.k12.ca.us/MHTobias,
Independence High,Bakersfield,93311,https://independence.kernhigh.org/,
Rosita Elementary,Santa Ana,92703,https://rosita.ggusd.us/,
Dunsmuir High,Dunsmuir,96025,http://dunsmuirhigh.k12.ca.us/,
Prairie Elementary,Sacramento,95823,http://blogs.egusd.net/prairie/,
Hollywood Beach Elementary,Oxnard,93035,https://www.huensd.k12.ca.us/o/hollywood-beach-elementary,
Bobby Duke Middle,Coachella,92236,https://bdms.cvusd.us/bobby-duke-middle-school,
Jeanne R. Meadows Elementary,San Jose,95122,https://meadows.fmsd.org/,
Thomas R. Pollicita Middle,Daly City,94014,https://www.jsd.k12.ca.us/TRPollicita,
Willow Elementary,Agoura,91301,https://www.lvusd.org/willow,
Marengo Ranch Elementary,Galt,95632,https://mg-gjuesd-ca.schoolloop.com/,
Discovery Elementary,Bakersfield,93308,https://discovery.fruitvale.k12.ca.us/,
Robert F. Kennedy Elementary,Compton,90220,https://rkes-compton-ca.schoolloop.com/,
Parsons Junior High,Redding,96002,https://parsons.eesd.net/,
MERIT Academy,El Cajon,92020,https://www.guhsd.net/Departments/Educational-Services/Special-Education/MERIT-Academy/index.html,
Gustine Middle,Gustine,95322,https://www.gustineusd.org/o/gustine-middle,
Horicon Elementary,Annapolis,95412,https://horiconesd.org/,
Kerman-Floyd Elementary,Kerman,93630,https://www.kermanusd.com/domain/17,
