SCH_NAME,LCITY,LZIP
Dos Palos Carver Center,Dos Palos,93620
Mattie Washburn Elementary,Santa Rosa,95403
Windsor High,Windsor,95492
Windsor Middle,Windsor,95492
Cali Calmecac Language Academy,Windsor,95492
Windsor Creek Elementary,Windsor,95492
Windsor Oaks Academy,Windsor,95492
Brooks Elementary,Windsor,95492
Bridges Community Based School North County Consortium,Windsor,95492
North Bay Met Academy,Windsor,95492
Farmersville Junior High,Farmersville,93223
J. E. Hester Elementary,Farmersville,93223
George L. Snowden Elementary,Farmersville,93223
Farmersville High,Farmersville,93223
Deep Creek Academy,Farmersville,93223
Freedom Elementary,Farmersville,93223
American Lakes,Sacramento,95833
Jefferson,Sacramento,95833
Bannon Creek,Sacramento,95833
Natomas High,Sacramento,95834
Discovery High,Sacramento,95834
Natomas Middle,Sacramento,95835
Natomas Park Elementary,Sacramento,95835
Two Rivers Elementary,Sacramento,95833
Inderkum High,Sacramento,95835
Witter Ranch Elementary,Sacramento,95834
Westlake Charter,Sacramento,95835
Heron,Sacramento,95835
Natomas Pacific Pathways Prep,Sacramento,95834
H. Allen Hight Elementary,Sacramento,95835
Natomas Pacific Pathways Prep Middle,Sacramento,95834
Leroy Greene Academy,Sacramento,95833
Natomas Gateways Middle,Sacramento,95834
Natomas Pacific Pathways Prep Elementary,Sacramento,95834
Paso Verde,Sacramento,95834
Ferndale Elementary,Ferndale,95536
Ferndale High,Ferndale,95536
Mattole Triple Junction High,Petrolia,95558
Mattole Elementary,Petrolia,95558
Honeydew Elementary,Honeydew,95545
El Capitan Elementary,Delhi,95315
Schendel Elementary,Delhi,95315
Delhi High,Delhi,95315
Delhi Middle,Delhi,95315
Harmony Elementary,Delhi,95315
Riverdale Elementary,Riverdale,93656
Fipps Primary,Riverdale,93656
Riverdale High,Riverdale,93656
Horizon High,Riverdale,93656
Warner Junior/Senior High,Warner Springs,92086
San Jose Valley Continuation High,Warner Springs,92086
Warner Elementary,Warner Springs,92086
Brook Knoll Elementary,Santa Cruz,95060
Scotts Valley Middle,Scotts Valley,95066
Vine Hill Elementary,Scotts Valley,95066
Scotts Valley High,Scotts Valley,95066
Healdsburg Elementary,Healdsburg,95448
Healdsburg High,Healdsburg,95448
Healdsburg Junior High,Healdsburg,95448
Marce Becerra Academy,Healdsburg,95448
Healdsburg Charter,Healdsburg,95448
North Valley High (Continuation),Orland,95963
Orland High,Orland,95963
Fairview Elementary,Orland,95963
Mill Street Elementary,Orland,95963
Price Intermediate,Orland,95963
Orland Community Day,Orland,95963
Gonzales High,Gonzales,93926
Fairview Middle,Gonzales,93926
La Gloria Elementary,Gonzales,93926
Somavia High,Gonzales,93926
Merrill F. West High,Tracy,95376
Duncan-Russell Continuation,Tracy,95376
Tracy High,Tracy,95376
Central Elementary,Tracy,95376
Monte Vista Middle,Tracy,95376
McKinley Elementary,Tracy,95376
North Elementary,Tracy,95376
South/West Park Elementary,Tracy,95376
Louis J. Villalovoz Elementary,Tracy,95376
Melville S. Jacobson Elementary,Tracy,95376
Gladys Poet-Christian Elementary,Tracy,95376
Earle E. Williams Middle,Tracy,95376
Louis A. Bohn Elementary,Tracy,95376
Wanda Hirsch Elementary,Tracy,95376
Willow Community Day,Tracy,95376
Art Freiler,Tracy,95376
George Kelly Elementary,Tracy,95377
George and Evelyn Stein Continuation,Tracy,95376
John C. Kimball High,Tracy,95377
Paso Robles High,Paso Robles,93446
Liberty High (Continuation),Paso Robles,93446
Georgia Brown Dual Immersion Magnet Elementary,Paso Robles,93446
Arts Academy at Bauer Speck Elementary,Paso Robles,93446
Winifred Pifer Elementary,Paso Robles,93446
George H. Flamson Middle,Paso Robles,93446
Virginia Peterson Elementary,Paso Robles,93446
Pat Butler Elementary,Paso Robles,93446
Daniel Lewis Middle,Paso Robles,93446
Paso Robles Independent Study Center,Paso Robles,93446
Kermit King Elementary,Paso Robles,93446
Independence High,Paso Robles,93446
Paso Robles Community,Paso Robles,93446
Leffingwell High (Continuation),Cambria,93428
Coast Union High,Cambria,93428
Cambria Grammar,Cambria,93428
Santa Lucia Middle,Cambria,93428
McKinley Elementary,Gridley,95948
Sycamore Middle,Gridley,95948
Wilson Elementary,Gridley,95948
Esperanza High (Continuation),Gridley,95948
Gridley High,Gridley,95948
Alice Birney Elementary,Eureka,95503
Catherine L. Zane Middle,Eureka,95501
Eureka Senior High,Eureka,95501
Grant Elementary,Eureka,95503
Lafayette Elementary,Eureka,95501
Washington Elementary,Eureka,95503
Zoe Barnum High,Eureka,95501
Winship Middle,Eureka,95503
Humboldt Virtual Academy,Eureka,95501
Emilie J. Ross Middle,Hughson,95326
Hughson Elementary,Hughson,95326
Hughson High,Hughson,95326
Dickens (Billy Joe) High (Continuation),Hughson,95326
Fox Road Elementary,Hughson,95326
Valley Community Day,Hughson,95326
Riverbank High,Riverbank,95367
California Avenue Elementary,Riverbank,95367
Cardozo Middle,Riverbank,95367
Adelante High,Riverbank,95367
Riverbank Language Academy,Riverbank,95367
Mesa Verde Elementary,Oakdale,95361
Oakdale High,Oakdale,95361
Cloverland Elementary,Oakdale,95361
Fair Oaks Elementary,Oakdale,95361
Magnolia Elementary,Oakdale,95361
Oakdale Junior High,Oakdale,95361
Oakdale Charter,Oakdale,95361
Valley Oak Junior and Senior High,Oakdale,95361
East Stanislaus High,Oakdale,95361
Sierra View Elementary,Oakdale,95361
Waterford Junior,Waterford,95386
Waterford High,Waterford,95386
Sentinel High,Waterford,95386
Richard M. Moon Primary,Waterford,95386
Lucille Whitehead Intermediate,Waterford,95386
Bartlett Middle,Porterville,93257
Belleview Elementary,Porterville,93257
John J. Doyle Elementary,Porterville,93257
Olive Street Elementary,Porterville,93257
Pioneer Middle,Porterville,93257
Roche Elementary,Porterville,93257
Vandalia Elementary,Porterville,93257
West Putnam Elementary,Porterville,93257
Westfield Elementary,Porterville,93257
